"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 03:26:15:388 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","(mean) total-litter-events","(std) total-litter-events","(mean) bin-utilization-rate","(std) bin-utilization-rate","(mean) total-agents-spawned","(std) total-agents-spawned","(mean) ticks","(std) ticks"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","0","0","500","0","0","0","0","0","0","500","0"
"3","0","0","0","0","0","1000","0","0","0","0","0","0","1000","0"
"3","0","0","0","0","0","1500","0","0","0","0","0","0","1500","0"
"3","0","0","0","0","0","2000","0","0","0","0","0","0","2000","0"
"3","0","0","0","0","0","2500","0","0","0","0","0","0","2500","0"
"3","0","0","0","0","0","3000","0","0","0","0","0","0","3000","0"
"3","0","0","0","0","0","3500","0","0","0","0","0","0","3500","0"
"3","0","0","0","0","0","4000","0","0","0","0","0","0","4000","0"
"3","0","0","0","0","0","4500","0","0","0","0","0","0","4500","0"
"3","0","0","0","0","0","5000","0","0","0","0","0","0","5000","0"
"3","0","0","0","0","0","5500","0","0","0","0","0","0","5500","0"
"3","0","0","0","0","0","6000","0","0","0","0","0","0","6000","0"
"3","0","0","0","0","0","6500","0","0","0","0","0","0","6500","0"
"3","0","0","0","0","0","7000","0","0","0","0","0","0","7000","0"
"3","0","0","0","0","0","7500","0","0","0","0","0","0","7500","0"
"3","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","2.5","0","500","0.6333333333333333","0.8749603165604456","0.0030208333333333337","0.002207252093793447","31.1","6.876772498781678","500","0"
"3","0","0","0","2.5","0","1000","1.4","1.2000000000000002","0.006875","0.003267580654449609","64.9","10.839280418920806","1000","0"
"3","0","0","0","2.5","0","1500","2.2","1.351542328847553","0.011874999999999997","0.0042235697776486026","97.4","12.120506040040848","1500","0"
"3","0","0","0","2.5","0","2000","3.2","1.851125783588643","0.015885416666666666","0.00523042191109432","131.93333333333334","13.628238656880384","2000","0"
"3","0","0","0","2.5","0","2500","3.7333333333333334","2.205044721138831","0.02026041666666667","0.00578312657231267","165.66666666666666","14.450682413720891","2500","0"
"3","0","0","0","2.5","0","3000","4.366666666666666","2.2133433734712042","0.025416666666666664","0.006665038863769329","199.8","17.084886108292714","3000","0"
"3","0","0","0","2.5","0","3500","5.433333333333334","2.577897506798041","0.030156249999999996","0.007116382764145935","233.66666666666666","18.401690743576314","3500","0"
"3","0","0","0","2.5","0","4000","6.233333333333333","2.7650597743187313","0.03348958333333333","0.007683130250841051","262.9","19.196093352554836","4000","0"
"3","0","0","0","2.5","0","4500","7.033333333333333","2.7986107664736486","0.03734375","0.008231968141287155","293.96666666666664","18.778504259451076","4500","0"
"3","0","0","0","2.5","0","5000","7.833333333333333","2.9335227211589063","0.041510416666666654","0.008145839993603415","325.8","19.772708463940898","5000","0"
"3","0","0","0","2.5","0","5500","8.666666666666666","3.186778240724566","0.04500000000000001","0.008561967745014382","357.56666666666666","19.6785557283952","5500","0"
"3","0","0","0","2.5","0","6000","9.933333333333334","3.2957885584822066","0.04921874999999999","0.009009814527086558","392.1666666666667","22.009215241701725","6000","0"
"3","0","0","0","2.5","0","6500","10.766666666666667","3.2932591084753042","0.053281249999999995","0.00890625","424.7","21.216581565684262","6500","0"
"3","0","0","0","2.5","0","7000","11.866666666666667","3.3239868966181088","0.057187499999999995","0.009432117670491605","457.53333333333336","22.468842624596597","7000","0"
