"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"fuente-osmenia.nlogox"
"experiment"
"05/29/2026 00:33:24:518 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","(mean) total-litter-events","(std) total-litter-events","(mean) bin-utilization-rate","(std) bin-utilization-rate","(mean) total-agents-spawned","(std) total-agents-spawned","(mean) ticks","(std) ticks"
"1","0","0","1","2.5","0","1500","5.133333333333334","2.077391526784384","0.015694444444444445","0.007110514297872335","94.4","10.19346195689505","1500","0"
"1","0","0","1","2.5","0","2000","6.833333333333333","3.0120129850686603","0.021527777777777774","0.008056752784596208","125.96666666666667","10.647326216264604","2000","0"
"1","0","0","1","2.5","0","2500","8.833333333333334","3.4745103571902356","0.02750000000000001","0.008305509104292251","158.3","9.374255525996006","2500","0"
"1","0","0","1","2.5","0","3000","10.8","3.4389921004077157","0.03125","0.008920300401850784","188.8","10.251503954705052","3000","0"
"1","0","0","1","2.5","0","3500","12.6","3.764748774265467","0.037083333333333336","0.010614782669047496","219.3","13.449039618748492","3500","0"
"1","0","0","1","2.5","0","4000","14.266666666666667","3.940671121635107","0.041944444444444444","0.01202492267884076","252.36666666666667","14.032066451128605","4000","0"
"1","0","0","1","2.5","0","4500","16.5","4.08860204307862","0.0475","0.011365151414154881","283.1333333333333","15.536480367902579","4500","0"
"1","0","0","1","2.5","0","5000","18.633333333333333","4.556923913733425","0.05277777777777778","0.011093736415397697","316.73333333333335","16.167731923666828","5000","0"
"1","0","0","1","2.5","0","5500","20.233333333333334","4.695269487000246","0.05875","0.01199681670740664","347.76666666666665","16.90302405554172","5500","0"
"1","0","0","1","2.5","0","6000","21.966666666666665","5.016528237292754","0.06624999999999999","0.011996816707406639","381.6333333333333","17.730356893067764","6000","0"
"1","0","0","1","2.5","0","6500","23.666666666666668","5.068420748999523","0.07291666666666666","0.01351225438328181","413.76666666666665","18.1193880200801","6500","0"
"1","0","0","1","2.5","0","7000","25.466666666666665","4.958046210174147","0.07875","0.015189771777965157","445.3666666666667","20.481672023760385","7000","0"
"1","0","0","1","2.5","0","7500","27.333333333333332","5.223876806442596","0.0840277777777778","0.016979131163334844","478.6333333333333","23.35591764176456","7500","0"
"1","0","0","1","5","0","0","0","0","0","0","0","0","0","0"
"1","0","0","1","5","0","500","2.533333333333333","1.2310790208412923","0.006944444444444446","0.00572653559113564","65.36666666666666","5.588579624754595","500","0"
"1","0","0","1","5","0","1000","6.766666666666667","2.275717225159771","0.018194444444444447","0.008639067522268881","130.26666666666668","8.872930118562236","1000","0"
"1","0","0","1","5","0","1500","10.733333333333333","3.0214051182999095","0.03361111111111111","0.012168442285449728","196.13333333333333","8.09416799649943","1500","0"
"1","0","0","1","5","0","2000","14.633333333333333","3.16736834331314","0.045000000000000005","0.012237994873283713","261","9.879271228182775","2000","0"
"1","0","0","1","5","0","2500","18.766666666666666","3.7919505388241674","0.059166666666666666","0.01664582029619848","325.6","14.761662056376535","2500","0"
"1","0","0","1","5","0","3000","22.766666666666666","4.984531628503881","0.07013888888888889","0.017745739359973107","393.23333333333335","17.930761897427065","3000","0"
"1","0","0","1","5","0","3500","26.433333333333334","4.94424469009732","0.08430555555555555","0.020629091438554605","458.4","22.361574184301066","3500","0"
"1","0","0","1","5","0","4000","30.133333333333333","5.17515431868676","0.0963888888888889","0.022353777265256346","525.2","23.29291737846507","4000","0"
"1","0","0","1","5","0","4500","33.93333333333333","5.691709370264397","0.10944444444444444","0.02209861455910978","591.8666666666667","22.628497274209106","4500","0"
"1","0","0","1","5","0","5000","38.3","6.1975801729384665","0.12166666666666665","0.02340761984198023","656.9666666666667","24.892412944956188","5000","0"
"1","0","0","1","5","0","5500","42.43333333333333","6.897745203244963","0.13263888888888892","0.02335027493427375","721.7333333333333","26.688241272557132","5500","0"
"1","0","0","1","5","0","6000","46.4","6.646302230062468","0.1425","0.023109041039770076","786.5333333333333","26.592897965852124","6000","0"
"1","0","0","1","5","0","6500","50.233333333333334","6.90257600867644","0.15555555555555556","0.02277947148174545","854","31.233528992627992","6500","0"
"1","0","0","1","5","0","7000","54.06666666666667","6.932692278056355","0.16583333333333333","0.02435273199367076","916.6666666666666","32.96496456677739","7000","0"
"1","0","0","1","5","0","7500","58.333333333333336","7.152311203768719","0.17875000000000002","0.028246394394617808","981.6333333333333","36.50432242290707","7500","0"
"1","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0","0","0","500","0","0","0","0","0","0","500","0"
"1","0","0.5","0","0","0","1000","0","0","0","0","0","0","1000","0"
"1","0","0.5","0","0","0","1500","0","0","0","0","0","0","1500","0"
"1","0","0.5","0","0","0","2000","0","0","0","0","0","0","2000","0"
"1","0","0.5","0","0","0","2500","0","0","0","0","0","0","2500","0"
"1","0","0.5","0","0","0","3000","0","0","0","0","0","0","3000","0"
"1","0","0.5","0","0","0","3500","0","0","0","0","0","0","3500","0"
"1","0","0.5","0","0","0","4000","0","0","0","0","0","0","4000","0"
"1","0","0.5","0","0","0","4500","0","0","0","0","0","0","4500","0"
"1","0","0.5","0","0","0","5000","0","0","0","0","0","0","5000","0"
"1","0","0.5","0","0","0","5500","0","0","0","0","0","0","5500","0"
"1","0","0.5","0","0","0","6000","0","0","0","0","0","0","6000","0"
"1","0","0.5","0","0","0","6500","0","0","0","0","0","0","6500","0"
"1","0","0.5","0","0","0","7000","0","0","0","0","0","0","7000","0"
"1","0","0.5","0","0","0","7500","0","0","0","0","0","0","7500","0"
"1","0","0.5","0","2.5","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0","2.5","0","500","0.9","1.16476034731041","0.003472222222222222","0.0034162149656246786","31.766666666666666","5.017857001638139","500","0"
"1","0","0.5","0","2.5","0","1000","2.8","1.7397317800933183","0.01055555555555556","0.006695539329552194","63","6.757711644237764","1000","0"
"1","0","0.5","0","2.5","0","1500","4.8","2.3860706890897707","0.016527777777777777","0.008571818957894151","94.16666666666667","8.132581932503902","1500","0"
"1","0","0.5","0","2.5","0","2000","6.233333333333333","2.812867259971971","0.022638888888888892","0.00923480567215516","127.76666666666667","10.118245346347798","2000","0"
"1","0","0.5","0","2.5","0","2500","8","3.235222815613581","0.028333333333333335","0.01","159.7","9.7848522387072","2500","0"
"1","0","0.5","0","2.5","0","3000","9.9","3.2388269481403293","0.03458333333333332","0.012460586009642713","190.33333333333334","9.47042179044254","3000","0"
"1","0","0.5","0","2.5","0","3500","11.866666666666667","3.7923900408874376","0.04166666666666665","0.012266334536566455","221.56666666666666","9.928690189994292","3500","0"
"1","0","0.5","0","2.5","0","4000","13.533333333333333","3.6854066562894006","0.046527777777777786","0.012687634935121421","252.26666666666668","12.966452440389734","4000","0"
"1","0","0.5","0","2.5","0","4500","15.333333333333334","4.133870932780666","0.053472222222222233","0.01222301133816211","284.43333333333334","15.651801458263165","4500","0"
"1","0","0.5","0","2.5","0","5000","17.2","4.735680169380812","0.06152777777777777","0.012204058472896488","314.93333333333334","18.00357989092416","5000","0"
"1","0","0.5","0","2.5","0","5500","19.433333333333334","5.044358785371591","0.06736111111111111","0.011838190187422241","348.23333333333335","18.784183654222385","5500","0"
"1","0","0.5","0","2.5","0","6000","21.2","5.035871324805669","0.07263888888888888","0.012345495754812716","379.03333333333336","18.967486801249013","6000","0"
"1","0","0.5","0","2.5","0","6500","23.166666666666668","5.4716440754940265","0.08055555555555555","0.014407002755433268","413.46666666666664","19.020573656496857","6500","0"
"1","0","0.5","0","2.5","0","7000","24.366666666666667","5.918802431423288","0.08625","0.014197270864500686","442.6666666666667","19.65423335795342","7000","0"
"1","0","0.5","0","2.5","0","7500","26.233333333333334","6.113827679031271","0.09152777777777778","0.015608169948325222","477.3666666666667","20.087281769539874","7500","0"
"1","0","0.5","0","5","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0","5","0","500","2.2333333333333334","1.5849991237291654","0.005972222222222225","0.004892754153835704","64.73333333333333","7.894864716313313","500","0"
"1","0","0.5","0","5","0","1000","5.733333333333333","2.4349309823666236","0.01930555555555556","0.007793882136998999","128.96666666666667","11.970751391992438","1000","0"
"1","0","0.5","0","5","0","1500","9.533333333333333","3.190959451673151","0.030833333333333334","0.009598418079539442","191.56666666666666","10.735248276381666","1500","0"
"1","0","0.5","0","5","0","2000","13.666666666666666","3.599382663118157","0.041249999999999995","0.01114664457068517","256","14.482172949296432","2000","0"
"1","0","0.5","0","5","0","2500","17.8","3.8157568056677826","0.054305555555555565","0.013414826190763524","321.03333333333336","18.023102458295636","2500","0"
"1","0","0.5","0","5","0","3000","21.833333333333332","4.6121819372420925","0.06277777777777778","0.014550889837454218","385.8","18.329211657897346","3000","0"
"1","0","0.5","0","5","0","3500","25.8","4.650448007092076","0.07180555555555555","0.015909296335053388","450.2","20.67268729507608","3500","0"
"1","0","0.5","0","5","0","4000","29.466666666666665","4.971474183333909","0.08638888888888888","0.01770819716723248","515.3333333333334","19.028633395199165","4000","0"
"1","0","0.5","0","5","0","4500","33.53333333333333","5.475602452901619","0.09861111111111112","0.01765583175785634","579.9666666666667","18.41463789730574","4500","0"
"1","0","0.5","0","5","0","5000","37.766666666666666","5.149002060809669","0.11125000000000002","0.017845465758790053","645.6333333333333","21.162046739912054","5000","0"
"1","0","0.5","0","5","0","5500","41.666666666666664","5.83285712341921","0.12430555555555554","0.018511862229659025","710.8666666666667","23.084963841330907","5500","0"
"1","0","0.5","0","5","0","6000","45.3","5.768593127155587","0.13611111111111113","0.019344983718311278","780.9333333333333","24.51113125817647","6000","0"
"1","0","0.5","0","5","0","6500","50.3","5.995275918031908","0.14750000000000002","0.023412563895228305","846.6666666666666","24.997777679003566","6500","0"
"1","0","0.5","0","5","0","7000","53.93333333333333","6.120639037079561","0.16","0.025037009642763886","913.4666666666667","27.25280821411906","7000","0"
"1","0","0.5","0","5","0","7500","57.56666666666667","6.448169421540418","0.1743055555555556","0.026199981740640133","980.3666666666667","28.94878619600867","7500","0"
