"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"8","3","0","0","0","0","0","5000","0","0","0","5000"
"4","3","0","0","0","0","0","5000","0","0","0","5000"
"9","3","0","0","0","0","0","5000","0","0","0","5000"
"11","3","0","0","0","0","0","4500","0","0","0","4500"
"12","3","0","0","0","0","0","4000","0","0","0","4000"
"2","3","0","0","0","0","0","4000","0","0","0","4000"
"7","3","0","0","0","0","0","4000","0","0","0","4000"
"3","3","0","0","0","0","0","4000","0","0","0","4000"
"5","3","0","0","0","0","0","5500","0","0","0","5500"
"10","3","0","0","0","0","0","5000","0","0","0","5000"
"1","3","0","0","0","0","0","3500","0","0","0","3500"
"6","3","0","0","0","0","0","4500","0","0","0","4500"
"8","3","0","0","0","0","0","5500","0","0","0","5500"
"4","3","0","0","0","0","0","5500","0","0","0","5500"
"9","3","0","0","0","0","0","5500","0","0","0","5500"
"11","3","0","0","0","0","0","5000","0","0","0","5000"
"7","3","0","0","0","0","0","4500","0","0","0","4500"
"5","3","0","0","0","0","0","6000","0","0","0","6000"
"12","3","0","0","0","0","0","4500","0","0","0","4500"
"3","3","0","0","0","0","0","4500","0","0","0","4500"
"2","3","0","0","0","0","0","4500","0","0","0","4500"
"10","3","0","0","0","0","0","5500","0","0","0","5500"
"8","3","0","0","0","0","0","6000","0","0","0","6000"
"6","3","0","0","0","0","0","5000","0","0","0","5000"
"4","3","0","0","0","0","0","6000","0","0","0","6000"
"9","3","0","0","0","0","0","6000","0","0","0","6000"
"1","3","0","0","0","0","0","4000","0","0","0","4000"
"11","3","0","0","0","0","0","5500","0","0","0","5500"
"5","3","0","0","0","0","0","6500","0","0","0","6500"
"7","3","0","0","0","0","0","5000","0","0","0","5000"
"12","3","0","0","0","0","0","5000","0","0","0","5000"
"3","3","0","0","0","0","0","5000","0","0","0","5000"
"2","3","0","0","0","0","0","5000","0","0","0","5000"
"10","3","0","0","0","0","0","6000","0","0","0","6000"
"8","3","0","0","0","0","0","6500","0","0","0","6500"
"6","3","0","0","0","0","0","5500","0","0","0","5500"
"4","3","0","0","0","0","0","6500","0","0","0","6500"
"9","3","0","0","0","0","0","6500","0","0","0","6500"
"5","3","0","0","0","0","0","7000","0","0","0","7000"
"11","3","0","0","0","0","0","6000","0","0","0","6000"
"7","3","0","0","0","0","0","5500","0","0","0","5500"
"3","3","0","0","0","0","0","5500","0","0","0","5500"
"2","3","0","0","0","0","0","5500","0","0","0","5500"
"1","3","0","0","0","0","0","4500","0","0","0","4500"
"12","3","0","0","0","0","0","5500","0","0","0","5500"
"10","3","0","0","0","0","0","6500","0","0","0","6500"
"8","3","0","0","0","0","0","7000","0","0","0","7000"
"6","3","0","0","0","0","0","6000","0","0","0","6000"
"4","3","0","0","0","0","0","7000","0","0","0","7000"
"9","3","0","0","0","0","0","7000","0","0","0","7000"
"5","3","0","0","0","0","0","7500","0","0","0","7500"
"13","3","0","0","0","0","0","0","0","0","0","0"
"11","3","0","0","0","0","0","6500","0","0","0","6500"
"3","3","0","0","0","0","0","6000","0","0","0","6000"
"7","3","0","0","0","0","0","6000","0","0","0","6000"
"2","3","0","0","0","0","0","6000","0","0","0","6000"
"12","3","0","0","0","0","0","6000","0","0","0","6000"
"10","3","0","0","0","0","0","7000","0","0","0","7000"
"4","3","0","0","0","0","0","7500","0","0","0","7500"
"8","3","0","0","0","0","0","7500","0","0","0","7500"
"14","3","0","0","0","0","0","0","0","0","0","0"
"15","3","0","0","0","0","0","0","0","0","0","0"
"6","3","0","0","0","0","0","6500","0","0","0","6500"
"1","3","0","0","0","0","0","5000","0","0","0","5000"
